16 # columns (variables)
16 # rows (constraints)
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 <= 16
